customer_unique_id,recency,frequency,monetary,review_score_mean,delivery_delay_mean,frequency_log,monetary_log,cluster
0000366f3b9a7992bf8c76cfdf3221e2,113,1,141.9,5.0,-5.0,0.6931471805599453,4.9621450849358215,0
0000b849f77a49e4a4ce2b2a4ca5be3f,116,1,27.189999999999998,4.0,-5.0,0.6931471805599453,3.338967305126021,0
0000f46a3911fa3c0805444483337064,539,1,86.22,3.0,-2.0,0.6931471805599453,4.46843366241462,1
0000f6ccb0745a6a4b88665a16c9f078,323,1,43.62,4.0,-12.0,0.6931471805599453,3.7981821890043865,1
0004aac84e0df4da2b147fca70cf8255,290,1,196.89,5.0,-8.0,0.6931471805599453,5.287711320760812,1
0004bd2a26a76fe21f786e4fbd80607f,148,1,166.98,4.0,-12.0,0.6931471805599453,5.123844924697481,0
00050ab1314c0e55a6ca13cf7181fecf,133,1,35.379999999999995,4.0,-12.0,0.6931471805599453,3.594019173089976,0
00053a61a98854899e70ed204dd4bafe,184,1,419.18,1.0,-10.0,0.6931471805599453,6.040683190895481,2
0005e1862207bf6ccc02e4228effd9a0,545,1,150.12,4.0,-28.0,0.6931471805599453,5.0180742231932545,1
0005ef4cd20d2893f0d9fbd94d3c0d97,172,1,129.76,1.0,30.0,0.6931471805599453,4.87336358185601,2
0006fdc98a402fceb4eb0ee528f6a8d4,409,1,29.0,3.0,-12.0,0.6931471805599453,3.4011973816621555,1
00082cbe03e478190aadbea78542e933,285,1,126.25999999999999,5.0,-8.0,0.6931471805599453,4.846232237804646,1
00090324bbad0e9342388303bb71ba0a,160,1,63.660000000000004,5.0,-8.0,0.6931471805599453,4.169142772297287,0
000949456b182f53c18b68d6babc79c1,130,1,82.05,4.0,-15.0,0.6931471805599453,4.419442836059304,0
000a5ad9c4601d2bbdd9ed765d5213b3,385,1,91.28,4.0,-15.0,0.6931471805599453,4.524827433305553,1
000bfa1d2f1a41876493be685390d6d3,336,1,46.85,4.5,-13.0,0.6931471805599453,3.8680711178989635,1
000c8bdb58a29e7115cfc257230fb21b,262,1,29.0,5.0,-9.0,0.6931471805599453,3.4011973816621555,0
000d460961d6dbfa3ec6c9f5805769e1,236,1,36.68,5.0,-13.0,0.6931471805599453,3.629129449708162,0
